sample_id	latitude	longitude
SAMN07136699	24.0001	-22.0001
SAMN07137071	31.66	-64.16
SAMN07137050	22.75	-158.0
SAMN07137101	31.66	-64.16
SAMN05991715	22.75	-158.0
SAMN05991653	22.75	-158.0
SAMEA2623079	31.499	-159.067
SAMN09092270	33.55	-118.4
SAMN09092248	33.55	-118.4
SAMN07136841	-32.5063	-162.9935
SAMN07136720	-32.495	-157.9945
SAMN07136809	-32.5038	-156.0107
SAMEA104408692	54.5381	10.0478
SAMEA2620970	-32.17	17.7052
SAMEA2621401	-47.1884	-58.2792
SAMN07136937	-40.0627	5.52721
SAMN07136936	-40.0627	5.52721
SAMN07136951	-36.4495	13.2196
SAMN07136952	-36.4495	13.2196
SAMN07136953	-36.4495	13.2196
SAMEA2622336	2.0481	-84.5425
SAMEA2622376	-1.99265	-84.595
SAMN09091855	33.55	-118.4
SAMN09091862	33.55	-118.4
SAMN09091888	33.55	-118.4
SAMN09092266	33.55	-118.4
SAMEA2619376	36.0552	-6.56275
SAMEA4398009	74.3102	-85.8462
SAMEA4398296	64.7368	-53.0588
SAMN06267289	77.0991	-150.2252
SAMN06267279	79.2466	-150.0613
SAMN06267280	79.2466	-150.0613
SAMEA4396538	67.1398	0.2399
SAMEA4397157	72.5702	44.1378
SAMN09201274	36.8313	-121.9047
SAMN09202115	36.8313	-121.9047
SAMEA104210867	33.454	-118.475
SAMEA104210875	33.55	-118.4
SAMN09091889	33.55	-118.4
SAMN09091847	33.55	-118.4
SAMN09091848	33.55	-118.4
SAMN09092437	33.55	-118.4
SAMN09092448	33.55	-118.4
SAMN09092451	33.55	-118.4
SAMN09092452	33.55	-118.4
SAMN09091842	33.55	-118.4
SAMN09201419	36.8313	-121.9047
SAMN09201853	36.8313	-121.9047
SAMN09201604	36.8313	-121.9047
SAMN09202068	36.8313	-121.9047
